keyword,title,link,summary,date
주거복지 정책,"조규홍 장관, 24.9억…복지부 고위 공무원 평균 30.5억원[재산공개]",https://www.newsis.com/view/NISX20250326_0003114097,"올해 상반기 재건축으로 거주지가 멸실 예정임에 따라주거계획으로 신규 거주지를 매입했다고 설명했다. 이밖에 배우자 명의로 경기 과천시에... 정호원복지부 대변인은 8억7796만원, 김혜진 기획조정실장 26억2460만원, 이스란 사회복지정책실장 34억1621만원, 정윤순 보건의료정책실장...",
주거복지 정책,"전북자치도, 전북형 주거복지정책 '반할주택' 공급 본격화",http://www.jeollailbo.com/news/articleView.html?idxno=762985,"27일 도에 따르면 '반할주택'은 '보증금 무이자 지원', '반값 임대료', '내 집 마련 기회' 등 3가지 혜택을 제공하는 전북형주거정책으로 '반할 수밖에 없는 주택'이라는 의미를 담고 있다. 앞서 도는 인구감소 위기 지역 11개 시군을 대상으로 오는 2031년까지 총 500세대 공급하기로 했으며, 지난해 장수군이...",
주거복지 정책,"서울시, 주거 취약가구에 우선 지원 계획 임차료 동결 조건, 세입자 있는 주택도 지원: 최대 1,200만원까지",https://www.cbci.co.kr/news/articleView.html?idxno=493120,"이번 지원 사업은 서울시의주거복지 정책의 일환으로, 노후화된 주거 환경을 개선하여 시민들의 삶의 질을 높이는 데 기여할 것으로 기대된다. 이와 같은 서울시의 적극적인 지원 정책은 주거 취약가구의 안전하고 쾌적한 생활 환경을 보장하는 동시에, 지역 사회의 전반적인 주거 복지를 향상시키는 데...",
주거복지 정책,"용인특례시, 처인노인복지관서 '찾아가는 주거복지상담소' 운영",http://www.econonews.co.kr/news/articleView.html?idxno=381212,"시는주거복지 정책에 대한 정보가 부족한 시민들에게 관련 정보와 맞춤형 상담을 제공하기 위해 '찾아가는 주거복지상담소'를 운영하고 있다. 시는 이날 상담에 참여한 시민 100여 명에게 맞춤형 상담을 통해 시 주거 복지 사업을 안내하고 공공임대주택 입주 정보 등을 제공했다. 또 지역 내 고시원, 옥탑 등에...",
주거복지 정책,"""고령인구 급증 속 거주시설 부족""…중산층, 복지정책 사각지대",https://www.news1.kr/realestate/general/5734673,"신설 △생활지원주거의무 설치 △노인복지주택 건설 및 시설기준 개선 △공공지원 민간임대주택을 활용한 노인복지주택 공급 등을 제안했다. 입주자 측면에선 과세대상 주택수 산정시 노인복지주택 제외와 단기 체류형 운영, 계약철회 규정 도입 등도 개선 사항으로 꼽았다. 연구원은 ""기존 노인복지주택...",
주거복지 정책,"지방자치인재개발원 고위정책과정, 고창군 청년 주거복지 선진지 견학",https://www.joongdo.co.kr/web/view.php?key=20250328010008953,"지방자치인재개발원 제22기 고위정책과정 교육생이 지난 25일 고창군을 방문해 청년주거복지 정책우수사례를 벤치마킹했다. 29일 고창군에 따르면 교육생들은 고창군이 역점적으로 추진 중인 ▲터미널 도시재생 혁신지구 국가시범사업(1777억원), ▲일자리연계형 지원주택사업(410억원) ▲청년매입임대주택...",
주거복지 정책,"광명시, 위기가구·복지사각지대 발굴 안전망 '촘촘'",https://news.tf.co.kr/read/national/2191175.htm,"위기가구에게복지 정책을 알려 지원받을 수 있도록 하고 집배원이 위기가구의 거주 환경 즉, 반복되는 체납 고지서, 장기 적체된 우편물 등 위기... 맞춤형복지서비스를 지원한다. 지난해 8월부터 올해 3월까지 총 8건의 상담이 이뤄졌다. 이 중 5건은 경제·주거·일자리 등 영역별 맞춤형복지서비스...",
주거복지 정책,"""디딤돌소득, K-복지모델로…기존 제도 연계시 효과 극대화""",https://www.yna.co.kr/view/AKR20250324007200004?input=1195m,"높이는복지정책의 패러다임으로 전환할 필요가 있다""며 K-복지모델 비전도 제시했다. 연구팀은 디딤돌소득 대상을 기준 중위소득 ▲ 65% 이하... 이 모델 적용 시 소득하락에 대한 위험과 불안을 배제할 수 있는 특징이 있고 기초생활보장제도의주거급여까지 통합 가능할 것으로 분석됐다. 추가 재정은...",
주거복지 정책,"용인특례시, 처인노인복지관서‘찾아가는 주거복지상담소’운영",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160281862954068,"시는주거복지 정책에 대한 정보가 부족한 시민들에게 관련 정보와 맞춤형 상담을 제공하기 위해 ‘찾아가는 주거복지상담소’를 운영하고 있다. 시는 이날 상담에 참여한 시민 100여 명에게 맞춤형 상담을 통해 시 주거 복지 사업을 안내하고 공공임대주택 입주 정보 등을 제공했다. 또 지역 내 고시원, 옥탑...",
주거복지 정책,"인천시 미추홀구, 긴급복지 의료기관 간담회 개최해",https://www.siminilbo.co.kr/news/newsview.php?ncode=1160289391416370,"구민들에게 신속한 지원이 가능했다.”라며, “앞으로도 지속적인 소통과 협의를 통해 의료 사각지대 없는복지를 실현해 나가겠다.”라고 말했다. 한편, 구는 긴급복지의료지원 사업뿐만 아니라 생계·주거등 위기에 처한 가구를 돕기 위한 다양한복지 정책을 추진하는 등복지안전망 강화에 힘쓰고 있다.",
주거복지 정책,"지방자치인재개발원 교육생, 고창군 찾아 `청년 주거복지' 벤치마킹",http://sjbnews.com/news/news.php?number=845361,"지방자치인재개발원 제22기 고위정책과정 교육생이 지난 25일 고창군을 방문해 청년주거복지 정책우수사례를 벤치마킹했다. 교육생들은 고창군이 역점적으로 추진 중인 터미널 도시재생 혁신지구 국가시범사업(1777억원), 일자리연계형 지원주택사업(410억원), 청년매입임대주택(10억원) 등 의 현장을...",
주거복지 정책,"이택수 경기도의원, 정책연구용역 최종보고회 개최",https://www.seoul.co.kr/news/publicnews/local_govern/kyungki_do/2025/03/26/20250326500164?wlog_tag3=naver,"경기도의회 교육기획위원회 소속 이택수 의원(국민의힘, 고양8)은 25일 경기도고양교육지원청 회의실에서 「경기도 노인주거복지정책연구회(회장 이택수)」의 ‘경기도형 세대통합 커뮤니티 주택 운영 방안 연구’ 최종보고회를 개최하였다. 이번 연구용역은 초고령화 사회 진입을 앞두고 노인들이 시설이나...",
주거복지 정책,"광명시, 복지사각지대 발굴 4대 안전망 본격 가동",http://www.metroseoul.co.kr/article/20250326500731,"위기가구에게복지 정책을 알려 지원을 받을 수 있도록 하고, 더 나아가 집배원이 위기가구의 거주 환경을 살펴보고 반복되는 체납 고지서, 장기 적체된... 맞춤형복지서비스를 지원한다. 지난해 8월부터 올해 3월까지 총 8건의 상담이 이뤄졌으며 이 중 5건은 경제,주거, 일자리 등 영역별 맞춤형복지서비스...",
주거복지 정책,"미추홀구, 긴급복지 의료기관 간담회 개최",http://www.enewstoday.co.kr/news/articleView.html?idxno=2255796,"필요한 구민들에게 신속한 지원이 가능했다""며 ""앞으로도 지속적인 소통과 협의를 통해 의료 사각지대 없는복지를 실현해 나가겠다""고 말했다. 한편, 구는 긴급복지의료지원 사업뿐만 아니라 생계·주거등 위기에 처한 가구를 돕기 위한 다양한복지 정책을 추진하는 등복지안전망 강화에 힘쓰고 있다.",
주거복지 정책,"""대한민국 최고의 복지천국 울주군…촘촘하게 다가가는 주민 맞춤형 정책 더 늘려야죠""",https://www.hankyung.com/article/2025032719821,이순걸 울주군수는 “올해 누구도 소외되지 않는 함께 누리는 행복 울주 실현을 위해 촘촘하게 다가가는 맞춤형복지 정책을 확대 추진하겠다”고... 아우르는복지서비스 지원’을 펼친다. 울주군은 결혼 초기 경제적 부담을 줄이고주거안정을 돕기 위해 신혼부부를 대상으로 주택 매입 전세자금대출...,
주거복지 정책,"디딤돌소득을 'K-복지모델'로… 오세훈 ""빈곤위험층 포괄할 대안""",https://view.asiae.co.kr/article/2025032408320767595,"이날 연구 결과 발표에 앞서 오 시장은 ""빈곤해져야 지원하는 것이 아니라, 빈곤해지기 전 선제적으로 지원해 회복탄력성을 높이는복지정책의 패러다임... 이 모델 적용시 소득하락에 대한 위험과 불안을 배제해 적극적인 사회참여와 자기실현 지원이 가능하고 기초생활보장제도의주거급여까지 통합 가능할...",
주거복지 정책,"가평시설공단 행복나눔봉사단, 주거환경개선 봉사활동 전개",https://www.kmaeil.com/news/articleView.html?idxno=498807,"가평군시설관리공단(이사장 최승수, 이하 공단) 행복나눔봉사단은 지난 26일 지역 내 고난도 사례관리 대상자인 독거노인을 대상으로주거환경개선 봉사활동을 실시했다. 이번 활동은 행복나눔봉사단을 중심으로, 가평군복지정책과, 가평군자원봉사센터, 상면행정복지센터, 상면지역사회보장협의체 등...",
주거복지 정책,인천형 주거정책 ‘천원주택’ 모집에 3681명 몰려,https://news.tf.co.kr/read/national/2187808.htm,"7.36대 1의 경쟁률은 신혼부부 및 신생아 가정을 위한 인천형주거복지 정책에 대한 높은 관심을 입증하는 결과다. ‘천원주택’은 하루 1000원, 월 3만 원의 저렴한 임대료로 신혼부부 등에게 안정적인 주거환경을 제공하는 정책이다. 발표 초기부터 실질적인 주거비 부담 완화 대책으로 주목받았으며, 접수...",
주거복지 정책,세종시 복지 행정에 정교함·전문성 더한다,https://daily.hankooki.com/news/articleView.html?idxno=1194750,"이와 함께 자활사업 지침 개정사항 설명 및 자활사업단 홍보,주거급여 개정사항과 신청 시 유의사항 안내 등 변화된복지 정책을 현장에서 효과적으로 적용할 수 있도록 안내했다. 교육 이후에는 질의응답 시간을 통해 현장에서 마주하는 애로사항을 공유하고 해결책을 모색했다. 이영옥 보건복지국장은...",
주거복지 정책,갈수록 고령화…‘전남형 통합돌봄’ 복지 정책 시동,https://view.asiae.co.kr/article/2025032308520899093,이상심 전남도 보건복지국장은 “앞으로는 전남도 특성을 반영한 기본적 통합돌봄 모형을 구축해 돌봄이 필요한 어르신이 살던 곳에서 건강한 노후를 보내도록 적극적으로 지원하겠다”고 말했다. 전남도는 정부정책방향에 발맞춰 의료·요양·돌봄 등 다양한 서비스를 원스톱으로 받도록 ‘전남형...,
주거복지 정책,"박재용 경기도의원 ""외국인 근로자 복지향상에 힘쓰겠다""",https://www.newscj.com/news/articleView.html?idxno=3249694,"보호와복지증진을 위한 지속적인 노력을 약속했다. 이번 개소식은 외국인 계절근로자들의 열악한주거환경을 개선하고 안정적인 근로 여건을 조성하기... 근로자복지향상을 위한정책적 지원을 아끼지 않겠다""고 강조했다. 또한 과거 외국인 근로자 쉼터를 방문했던 경험을 언급하며, 열악한 생활 여건 속에서...",
주거복지 정책,"[인터뷰] ""촘촘한 복지, '모두가 행복한 서울' 만들 것"" 김영옥 서울시의회 보건복지위원장",https://daily.hankooki.com/news/articleView.html?idxno=1195167,"맞춤형복지정책을 추진한다는 것이다. '서울형 키즈카페, 서울런, 안심소득(서울디딤돌소득)'을 앞서가는 서울형복지사업으로 꼽는 김 위원장은... 침체된 '미가로 먹자골목' 상권을 살리기 위해 서울형 키즈카페 유치와 2종주거지역 용도상향과 관련한 용역도 진행하고 있다. 또한 광진구 정립회관이...",
주거복지 정책,"광명시, 촘촘한 복지사각지대 발굴 안전망 가동",http://www.breaknews.com/1103658,"위기가구에게복지 정책을 알려 지원을 받을 수 있도록 하고, 더 나아가 집배원이 위기가구의 거주 환경을... 맞춤형복지서비스를 지원한다. 지난해 8월부터 올해 3월까지 총 8건의 상담이 이뤄졌으며 이 중 5건은 경제,주거, 일자리...",
주거복지 정책,서울 '약자동행 자치구 지원사업' 선정… 복지정책 효과성↑,http://www.welfarenews.net/news/articleView.html?idxno=109710,장애인신문·웰페어뉴스=박성용 기자 | 서울시가 기존복지정책의 효과성을 높이기 위해 각 자치구와 협력을 강화한다. 26일 서울시는 '2025년도 약자와의... 9사업 ▲느린학습자의 교육공백 해소 위한 자유학기 맞춤형 THE 성장스쿨 ▲자립준비청년의주거환경 개선사업 ▲저소득 장애인 돌봄가족의 건강관리를...,
주거복지 정책,"이혜란 국장 ""제주도민 누구나 편히 누리는 제주형 복지 실천""",https://www.nocutnews.co.kr/news/6311399?utm_source=naver&utm_medium=article&utm_campaign=20250320054832,"현재 제주도가 강조하는복지정책기조는 무엇입니까? ◆이혜란> 제주도의복지수준은 타 지역과 비교했을 때 꾸준히 향상되고 있습니다. 특히... 청소년들의 자립과 교육, 생활지원 등을 제공하고 있고 특히 시설 퇴소자의 안정적인주거지원을 위해서주거정착 지원금을 지원하고 있는데 기존 500만 원에서...",
주거복지 정책,"청양군, 복지업무 담당자 직무 교육 가져",http://www.bzeronews.com/news/articleView.html?idxno=704156,"2025년 선정 기준은 생계급여 32% 이하, 의료급여 40% 이하,주거급여 48% 이하, 교육급여 50% 이하 등이다. 관련 문의는 청양군청복지정책과복지기획팀(940-2071~5)로 하면 된다. 김돈곤 군수는 ""지역 내복지담당자들이정책변화에 신속히 대응하고 군민들에게 보다 신속한복지서비스를 제공할 수 있도록 이번...",
주거복지 정책,시흥시의회 '이주배경청소년 주거·복지정책 연구회' 본격 활동 개시,https://www.newscj.com/news/articleView.html?idxno=3248175,"시흥시의회 의원 연구단체 '시흥시 이주배경청소년주거환경 및복지정책연구회'가 지난 18일 시흥시의회 운영위원회 회의장에서 첫 간담회를 열고 본격적인 연구 활동에 착수했다. 이 연구회는 한지숙 의원과 이건섭 의원이 공동으로 활동하며, 이주배경청소년의주거환경과복지사각지대를 분석해 안정적인...",
